사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-01,1호선,150,서울역,"1,228,346","1,173,888","171,270","161,413"
2023-01,1호선,151,시청,"566,559","580,516","76,126","73,149"
2023-01,1호선,152,종각,"885,821","862,251","125,085","117,231"
2023-01,1호선,153,종로3가,"447,641","411,958","271,449","251,592"
2023-01,1호선,154,종로5가,"428,412","424,366","217,290","209,180"
2023-01,1호선,155,동대문,"210,265","198,163","104,059","102,142"
2023-01,1호선,156,신설동,"256,664","248,625","104,780","100,582"
2023-01,1호선,157,제기동,"221,450","215,567","266,914","289,322"
2023-01,1호선,158,청량리(서울시립대입구),"309,342","305,961","242,454","243,890"
2023-01,1호선,159,동묘앞,"118,696","125,235","129,707","132,735"
2023-01,2호선,201,시청,"585,786","558,820","49,461","45,261"
2023-01,2호선,202,을지로입구,"1,103,017","1,132,715","92,071","86,397"
2023-01,2호선,203,을지로3가,"549,488","555,415","70,676","69,456"
2023-01,2호선,204,을지로4가,"274,018","281,698","72,790","71,775"
2023-01,2호선,205,동대문역사문화공원(DDP),"305,501","349,119","47,632","51,389"
2023-01,2호선,206,신당,"296,738","312,727","83,785","85,100"
2023-01,2호선,207,상왕십리,"318,432","305,365","60,485","60,982"
2023-01,2호선,208,왕십리(성동구청),"379,698","338,425","46,265","40,303"
2023-01,2호선,209,한양대,"187,650","198,011","11,297","11,818"
2023-01,2호선,210,뚝섬,"535,807","572,051","50,135","50,808"
2023-01,2호선,211,성수,"937,726","1,024,575","93,876","95,163"
2023-01,2호선,212,건대입구,"936,471","1,011,543","80,990","84,397"
2023-01,2호선,213,구의(광진구청),"548,178","534,712","94,243","95,644"
2023-01,2호선,214,강변(동서울터미널),"789,594","748,549","101,350","97,511"
2023-01,2호선,215,잠실나루,"300,853","288,717","76,060","75,729"
2023-01,2호선,216,잠실(송파구청),"1,953,738","1,927,046","178,541","170,514"
2023-01,2호선,217,잠실새내,"504,396","506,535","99,417","98,845"
2023-01,2호선,218,종합운동장,"159,884","176,045","37,774","39,430"
2023-01,2호선,219,삼성(무역센터),"1,300,392","1,303,276","105,771","97,366"
2023-01,2호선,220,선릉,"1,235,356","1,092,153","187,583","164,282"
2023-01,2호선,221,역삼,"1,198,133","1,356,184","131,686","133,769"
2023-01,2호선,222,강남,"2,075,004","2,017,884","141,570","123,640"
2023-01,2호선,223,교대(법원.검찰청),"714,309","808,294","135,251","152,597"
2023-01,2호선,224,서초,"502,721","472,536","74,895","73,616"
2023-01,2호선,225,방배,"349,847","365,322","66,403","66,086"
2023-01,2호선,226,사당,"882,736","996,504","174,525","167,694"
2023-01,2호선,227,낙성대(강감찬),"645,257","620,515","94,897","95,584"
2023-01,2호선,228,서울대입구(관악구청),"1,107,910","1,091,693","160,667","153,152"
2023-01,2호선,229,봉천,"514,001","473,732","131,862","132,541"
2023-01,2호선,230,신림,"1,385,366","1,338,211","176,605","175,244"
2023-01,2호선,231,신대방,"579,885","555,518","109,609","111,808"
2023-01,2호선,232,구로디지털단지,"1,388,509","1,379,298","165,858","167,583"
2023-01,2호선,233,대림(구로구청),"544,821","557,846","113,689","117,364"
2023-01,2호선,234,신도림,"1,157,537","1,149,404","184,270","174,082"
2023-01,2호선,235,문래,"488,335","504,590","74,951","74,902"
2023-01,2호선,236,영등포구청,"478,179","493,349","87,977","87,715"
2023-01,2호선,237,당산,"417,737","485,977","50,411","55,616"
2023-01,2호선,238,합정,"830,337","909,139","60,806","60,791"
2023-01,2호선,239,홍대입구,"1,796,107","1,894,987","84,934","81,345"
2023-01,2호선,240,신촌,"877,238","895,999","108,231","105,765"
2023-01,2호선,241,이대,"327,818","350,968","42,408","44,365"
2023-01,2호선,242,아현,"219,601","205,442","58,652","57,642"
2023-01,2호선,243,충정로(경기대입구),"214,810","228,828","42,578","42,919"
2023-01,2호선,244,용답,"59,974","58,629","14,973","15,093"
2023-01,2호선,245,신답,"35,749","39,751","8,799","9,316"
2023-01,2호선,246,신설동,"71,075","71,336","27,699","29,726"
2023-01,2호선,247,도림천,"27,314","28,222","7,049","7,837"
2023-01,2호선,248,양천구청,"138,455","144,857","43,417","44,312"
2023-01,2호선,249,신정네거리,"213,140","219,865","62,871","65,091"
2023-01,2호선,250,용두(동대문구청),"44,381","43,181","21,372","22,298"
2023-01,3호선,309,지축,"132,458","127,892","26,440","25,514"
2023-01,3호선,310,구파발,"452,949","441,453","104,105","100,445"
2023-01,3호선,311,연신내,"716,907","687,002","223,042","216,229"
2023-01,3호선,312,불광,"307,536","328,524","122,508","135,163"
2023-01,3호선,313,녹번,"341,307","300,423","69,288","68,208"
2023-01,3호선,314,홍제,"341,173","321,125","125,796","124,281"
2023-01,3호선,315,무악재,"85,211","81,036","27,962","29,815"
2023-01,3호선,316,독립문,"129,390","133,205","57,849","57,708"
2023-01,3호선,317,경복궁(정부서울청사),"500,501","508,054","74,203","72,919"
2023-01,3호선,318,안국,"552,027","573,236","83,113","86,675"
2023-01,3호선,319,종로3가,"206,893","253,439","52,449","57,975"
2023-01,3호선,320,을지로3가,"241,101","248,071","46,009","43,592"
2023-01,3호선,321,충무로,31,0,2,0
2023-01,3호선,322,동대입구,"194,097","208,284","31,791","35,563"
2023-01,3호선,323,약수,"269,907","264,031","73,442","68,802"
2023-01,3호선,324,금호,"167,310","151,764","47,820","46,727"
2023-01,3호선,325,옥수,"184,617","191,824","51,510","52,271"
2023-01,3호선,326,압구정,"756,501","827,702","119,947","118,498"
2023-01,3호선,327,신사,"734,519","764,278","61,227","59,796"
2023-01,3호선,328,잠원,"97,529","94,409","26,574","25,514"
2023-01,3호선,329,고속터미널,"1,203,551","1,165,844","170,770","162,656"
2023-01,3호선,330,교대(법원.검찰청),"308,104","202,557","62,822","38,580"
2023-01,3호선,331,남부터미널(예술의전당),"718,979","726,606","106,570","106,824"
2023-01,3호선,332,양재(서초구청),"829,877","913,194","128,947","129,282"
2023-01,3호선,333,매봉,"260,266","251,223","56,767","52,856"
2023-01,3호선,334,도곡,"108,238","110,052","21,404","19,681"
2023-01,3호선,335,대치,"276,705","267,525","60,733","58,792"
2023-01,3호선,336,학여울,"41,762","42,835","13,573","13,416"
2023-01,3호선,337,대청,"209,106","197,938","53,520","51,487"
2023-01,3호선,338,일원,"212,661","203,404","59,696","59,278"
2023-01,3호선,339,수서,"395,384","400,340","98,928","96,997"
2023-01,3호선,340,가락시장,"173,656","171,117","70,482","69,200"
2023-01,3호선,341,경찰병원,"155,794","155,406","38,815","40,178"
2023-01,3호선,342,오금,"137,678","124,755","26,794","25,771"
2023-01,4호선,409,당고개,"180,665","156,778","64,805","63,922"
2023-01,4호선,410,상계,"398,124","365,675","105,354","103,448"
2023-01,4호선,411,노원,"432,972","504,043","81,829","80,839"
2023-01,4호선,412,창동,"496,599","528,390","182,871","187,953"
2023-01,4호선,413,쌍문,"629,762","572,818","150,720","148,435"
2023-01,4호선,414,수유(강북구청),"749,472","759,691","169,496","169,869"
2023-01,4호선,415,미아(서울사이버대학),"293,435","277,083","100,614","102,508"
2023-01,4호선,416,미아사거리,"563,364","551,470","161,319","160,460"
2023-01,4호선,417,길음,"443,709","427,440","104,295","105,039"
2023-01,4호선,418,성신여대입구(돈암),"465,000","452,038","76,053","73,743"
2023-01,4호선,419,한성대입구(삼선교),"279,566","270,625","63,941","63,034"
2023-01,4호선,420,혜화,"834,617","839,342","116,577","114,809"
2023-01,4호선,421,동대문,"354,229","373,941","119,403","117,187"
2023-01,4호선,422,동대문역사문화공원(DDP),"408,883","358,524","52,522","47,259"
2023-01,4호선,423,충무로,"557,608","586,968","101,469","102,937"
2023-01,4호선,424,명동,"627,182","669,245","60,917","62,228"
2023-01,4호선,425,회현(남대문시장),"480,748","504,065","145,966","145,510"
2023-01,4호선,426,서울역,"274,069","501,255","34,313","43,729"
2023-01,4호선,427,숙대입구(갈월),"304,793","297,155","48,224","44,871"
2023-01,4호선,428,삼각지,"135,996","158,263","21,541","22,232"
2023-01,4호선,429,신용산,"451,080","472,074","46,615","47,253"
2023-01,4호선,430,이촌(국립중앙박물관),"219,297","237,241","43,534","45,414"
2023-01,4호선,431,동작(현충원),"21,371","24,540","10,783","11,050"
2023-01,4호선,432,총신대입구(이수),"372,829","413,536","133,999","140,403"
2023-01,4호선,433,사당,"634,816","540,587","85,543","85,640"
2023-01,4호선,434,남태령,"28,366","23,191","7,245","6,756"
2023-01,경부선,1001,서울역,"254,560","74,191","12,036","2,710"
2023-01,경부선,1002,남영,"213,159","220,396","33,819","34,519"
2023-01,경부선,1003,용산,"1,093,126","1,084,721","114,280","112,197"
2023-01,경부선,1004,노량진,"202,264","211,463","39,758","38,403"
2023-01,경부선,1005,대방,"227,504","249,586","50,818","51,731"
2023-01,경부선,1006,영등포,"955,183","982,701","227,882","227,493"
2023-01,경부선,1007,신도림,"76,314","79,513","20,662","24,101"
2023-01,경부선,1032,신길,"195,365","163,854","38,590","35,941"
2023-01,경부선,1701,구로,"389,626","402,319","86,669","83,940"
2023-01,경부선,1702,가산디지털단지,"399,500","475,941","30,596","34,754"
2023-01,경부선,1703,금천구청,"230,210","229,791","69,548","70,807"
2023-01,경부선,1704,석수,"196,891","178,042","42,209","40,379"
2023-01,경부선,1705,관악,"150,859","142,482","47,231","45,644"
2023-01,경부선,1706,안양,"476,749","471,870","105,218","109,159"
2023-01,경부선,1707,명학,"186,342","182,047","37,274","36,512"
2023-01,경부선,1708,금정,"626,754","638,634","107,848","109,006"
2023-01,경부선,1709,군포,"161,998","157,019","31,338","30,832"
2023-01,경부선,1710,의왕,"192,826","190,622","36,917","36,644"
2023-01,경부선,1711,성균관대,"326,460","325,604","48,491","48,787"
2023-01,경부선,1712,화서,"176,264","169,287","37,061","36,466"
2023-01,경부선,1713,수원,"930,458","987,423","125,626","128,894"
2023-01,경부선,1714,독산,"400,500","410,265","59,456","60,799"
2023-01,경부선,1715,세류,"73,737","67,024","13,740","13,367"
2023-01,경부선,1716,병점,"332,657","331,517","58,809","58,610"
2023-01,경부선,1717,세마,"64,869","61,270","13,094","12,360"
2023-01,경부선,1718,오산대,"78,713","73,233","13,900","13,070"
2023-01,경부선,1719,오산,"241,457","241,596","41,682","42,479"
2023-01,경부선,1720,진위,"38,686","32,988","8,299","7,974"
2023-01,경부선,1721,송탄,"111,649","112,988","18,753","18,486"
2023-01,경부선,1722,서정리,"196,703","185,213","29,005","28,085"
2023-01,경부선,1723,평택지제,"112,813","109,037","11,218","10,914"
2023-01,경부선,1724,평택,"310,816","312,459","56,241","54,884"
2023-01,경부선,1725,성환,"81,440","80,536","17,035","16,780"
2023-01,경부선,1726,직산,"20,239","19,974","4,205","4,086"
2023-01,경부선,1727,두정,"145,293","148,750","21,122","21,321"
2023-01,경부선,1728,천안,"127,545","132,648","44,775","44,986"
2023-01,경부선,1729,당정,"131,410","124,397","25,525","24,389"
2023-01,경부선,1749,서동탄,"30,951","27,488","6,322","5,984"
2023-01,경부선,1750,광명,"97,037","79,194","8,533","8,031"
2023-01,경인선,1801,개봉,"443,733","427,766","136,091","140,853"
2023-01,경인선,1802,오류동,"229,355","209,495","80,549","78,992"
2023-01,경인선,1803,역곡,"567,699","559,904","133,959","138,435"
2023-01,경인선,1804,부천,"697,838","701,842","187,598","189,720"
2023-01,경인선,1805,송내,"590,484","580,199","105,004","103,963"
2023-01,경인선,1806,부평,"709,981","762,584","127,569","130,476"
2023-01,경인선,1807,백운,"127,859","123,066","49,017","49,213"
2023-01,경인선,1808,동암,"342,960","339,479","89,712","91,102"
2023-01,경인선,1809,주안,"426,601","385,110","79,668","71,618"
2023-01,경인선,1810,제물포,"211,230","199,516","55,705","55,563"
2023-01,경인선,1811,동인천,"273,551","260,302","102,032","98,956"
2023-01,경인선,1812,인천,"72,001","52,290","26,799","23,867"
2023-01,경인선,1813,구일,"125,059","123,903","37,082","36,811"
2023-01,경인선,1814,소사,"159,953","156,728","53,914","53,683"
2023-01,경인선,1815,부개,"171,518","156,164","58,135","56,894"
2023-01,경인선,1816,간석,"115,035","108,140","38,210","36,588"
2023-01,경인선,1817,도원,"51,788","50,615","25,955","27,121"
2023-01,경인선,1821,온수(성공회대입구),"125,029","116,859","43,340","41,632"
2023-01,경인선,1822,중동,"182,490","167,439","62,075","60,767"
2023-01,경인선,1823,도화,"74,065","66,312","34,345","33,102"
2023-01,경원선,1008,이촌(국립중앙박물관),"77,936","59,440","25,755","21,857"
2023-01,경원선,1009,서빙고,"41,129","39,140","15,090","14,208"
2023-01,경원선,1010,한남,"79,816","77,061","25,257","23,599"
2023-01,경원선,1011,옥수,"1,507","1,024",133,78
2023-01,경원선,1012,응봉,"34,359","28,327","14,740","13,068"
2023-01,경원선,1013,왕십리(성동구청),"362,604","396,358","59,624","62,983"
2023-01,경원선,1014,청량리(서울시립대입구),"348,807","346,245","129,399","134,229"
2023-01,경원선,1016,외대앞,"169,849","165,398","38,247","40,332"
2023-01,경원선,1017,신이문,"163,049","145,602","61,150","58,621"
2023-01,경원선,1018,석계,"156,624","177,624","52,945","57,206"
2023-01,경원선,1019,광운대,"151,512","145,888","46,901","46,873"
2023-01,경원선,1020,월계,"113,839","105,892","52,866","50,891"
2023-01,경원선,1021,녹천,"87,585","71,882","31,230","28,433"
2023-01,경원선,1022,창동,17,0,0,0
2023-01,경원선,1901,방학,"167,826","162,274","95,054","93,465"
2023-01,경원선,1902,도봉,"94,999","88,428","61,392","61,108"
2023-01,경원선,1903,도봉산,"115,343","61,371","87,247","66,069"
2023-01,경원선,1904,망월사,"136,012","136,827","60,680","62,123"
2023-01,경원선,1905,회룡,"205,782","202,063","123,119","122,588"
2023-01,경원선,1906,의정부,"428,594","443,655","99,622","101,582"
2023-01,경원선,1907,가능,"123,226","116,999","49,452","48,872"
2023-01,경원선,1908,녹양,"87,502","82,155","31,807","30,212"
2023-01,경원선,1909,양주,"151,032","141,373","45,867","43,876"
2023-01,경원선,1910,덕계,"69,318","60,818","20,077","19,019"
2023-01,경원선,1911,덕정,"115,692","109,023","29,193","29,426"
2023-01,경원선,1912,지행,"137,890","135,620","37,930","37,726"
2023-01,경원선,1913,동두천중앙,"52,473","50,770","29,249","29,118"
2023-01,경원선,1914,보산,"32,686","31,034","11,583","10,846"
2023-01,경원선,1915,동두천,"36,304","40,165","19,112","20,889"
2023-01,경원선,1916,소요산,"30,778","24,115","37,631","34,793"
2023-01,안산선,1751,산본,"342,643","374,738","89,937","91,390"
2023-01,안산선,1752,대야미,"105,477","92,827","25,935","24,347"
2023-01,안산선,1753,반월,"87,797","83,510","26,109","25,779"
2023-01,안산선,1754,상록수,"348,514","352,986","61,056","62,362"
2023-01,안산선,1755,한대앞,"199,628","200,223","37,023","38,321"
2023-01,안산선,1756,중앙,"450,935","475,787","53,437","51,841"
2023-01,안산선,1757,고잔,"203,167","193,033","31,397","29,903"
2023-01,안산선,1758,초지,"112,948","111,830","14,579","14,466"
2023-01,안산선,1759,안산,"314,971","292,103","33,472","31,627"
2023-01,안산선,1760,신길온천,"41,254","37,345","8,082","7,840"
2023-01,안산선,1761,정왕,"202,996","208,718","24,623","25,745"
2023-01,안산선,1762,오이도,"190,984","188,406","28,279","27,748"
2023-01,안산선,1763,수리산,"78,295","61,006","27,247","25,256"
2023-01,과천선,1450,선바위,"177,556","153,541","28,022","27,741"
